NDB_No;Shrt_Desc;Water_(g);Energ_Kcal;Protein_(g);Lipid_Tot_(g);Carbohydrt_(g);Fiber_TD_(g);Sugar_Tot_(g);Iron_(mg);Cholestrl_(mg)
23322;BEEF,AUS,IMP,WGU,SMLEDRIB STK/RST,BNLESS,LN&FAT,MRB SCR9,RAW;4627;405;1454;383;42;0;0;182;82
23313;BEEF,AUS,IMP,WGU,SMLENDRIB STK/RST,BNLESS, MRB SCR 4/5,RAW;6192;234;2035;1693;0;0;0;189;72
23295;BEEF,AUS,IMP,WGU,TENLN STK/RST,BNLESS,LN,MRB SCR 4/5,RAW;6647;191;2019;123;0;0;0;224;59
23311;BEEF,AUS,IMP,WGU,TOP LN STK/RST,BNLESS,LN,MRB SCR 4/5,RAW;6307;223;2015;1569;2;0;0;185;58
23319;BEEF,AUS,IMP,WGU,TP LN STK/RST,BNLES,LN & FAT,MRB SCR4/5,RAW;5721;289;1767;242;17;0;0;169;63
23312;BEEF,AUS,IMP,WGU,TP LN STK/RST,BNLESS,LN,MARBLE SCORE 9,RAW;5309;331;1692;2915;13;0;0;171;61
23320;BEEF,AUS,IMP,WGU,TP LN STK/RST,LN & FAT,MARBLE SCORE9,RAW;4768;392;1458;3698;22;0;0;154;68
23300;BEEF,AUST,IMP,WAGYU,EXTERNAL FAT,AUST. MARBLE SCORE 9,RAW;2517;639;554;6807;97;0;0;81;95
23299;BEEF,AUST,IMP,WAGYU,SEAM FAT,AUST. MARBLE SCORE 4/5,RAW;3044;594;6;633;0;0;;97;95
23296;BEEF,AUSTRALIAN,IMP,GRASS-FED,EXTERNAL FAT,RAW;3651;509;1132;5136;39;0;0;95;66
23293;BEEF,AUSTRALIAN,IMP,GRASS-FED,GROUND,85% LN / 15% FAT,RAW;6356;234;1772;1812;0;0;0;179;66
23297;BEEF,AUSTRALIAN,IMP,GRASS-FED,SEAM FAT,RAW;312;562;958;5773;106;0;0;89;65
23301;BEEF,AUSTRALIAN,IMP,WAGYU,SEAM FAT,AUST. MARBLE SCORE 9,RAW;2813;627;516;6733;0;0;0;91;96
43384;BEEF,BOLOGNA,RED NA;548;310;117;284;2;0;0;14;56
13596;"BEEF,BRISKET,FLAT HALF,BNLESS LN,0"" FAT,ALL CHOICE,RAW";7221;137;2128;575;0;0;0;204;67
13595;"BEEF,BRISKET,FLAT HALF,BNLESS LN,0"" FAT,ALL GRDS,RAW";727;132;2147;511;0;0;0;206;67
13904;"BEEF,BRISKET,FLAT HALF,BNLESS,LN & FAT,0"" FAT,ALL GRDS,RAW";6989;165;2032;929;0;0;0;2;67
13975;"BEEF,BRISKET,FLAT HALF,BNLESS,LN & FAT,0"" FAT,CHOIC,RAW";6947;169;2015;986;0;0;0;198;67
13983;"BEEF,BRISKET,FLAT HALF,BNLESS,LN & FAT,0"" FAT,SEL,RAW";7052;158;2057;845;0;0;0;202;69
13597;"BEEF,BRISKET,FLAT HALF,BNLESS,LN,0"" FAT,SEL,RAW";7343;124;2174;414;0;0;0;208;69
13165;"BEEF,BRISKET,FLAT HALF,LN & FAT,0"" FAT,CHOIC,CKD,BRSD";5842;221;3221;924;0;0;0;275;92
13950;"BEEF,BRISKET,FLAT HALF,LN & FAT,0"" FAT,SEL,CKD,BRSD";5938;205;3359;677;0;0;0;278;93
23660;"BEEF,BRISKET,FLAT HALF,LN & FAT,1/8"" FAT,CHOIC,CKD,BRSD";5158;298;2866;1947;0;0;0;246;107
23658;"BEEF,BRISKET,FLAT HALF,LN & FAT,1/8"" FAT,CHOIC,RAW";588;278;1812;2215;12;0;0;168;91
13055;"BEEF,BRISKET,FLAT HALF,LN & FAT,1/8"" FAT,SEL,CKD,BRSD";5339;280;2897;1737;0;0;0;24;107
23659;"BEEF,BRISKET,FLAT HALF,LN & FAT,1/8"" FAT,SEL,RAW";5934;276;1777;2221;0;0;0;15;94
13369;"BEEF,BRISKET,FLAT HALF,LN&FAT,0""FAT,ALL GRDS,CKD,BRSD";589;213;329;801;0;0;0;276;92
13806;"BEEF,BRISKET,FLAT HALF,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRSD";5248;289;2882;1842;0;0;0;243;106
13805;"BEEF,BRISKET,FLAT HALF,LN&FAT,1/8""FAT,ALL GRDS,RAW";5907;277;1794;2218;0;0;0;159;92
13343;"BEEF,BRISKET,FLAT HALF,LN,0"" FAT,CHOIC,CKD,BRSD";5918;212;3262;807;0;0;0;283;99
13485;"BEEF,BRISKET,FLAT HALF,LN,0"" FAT,SEL,CKD,BRSD";5992;198;339;592;0;0;0;287;102
